,Team,Tempo-Adj,Avg. Poss Length-Offense,Avg. Poss Length-Defense,Off. Efficiency-Adj,Def. Efficiency-Adj,AdjTempo,AdjOE_x,Off-eFG%,Off-TO%,Off-OR%,Off-FTRate,AdjDE,Def-eFG%,Def-TO%,Def-OR%,Def-FTRate,3P%,2P%,FT%,Blk%,Stl%,A%,3PA%,AdjOE_y,Off-FT,Off-2P,Off-3P,Def-FT,Def-2P,Def-3P
0,Abilene Christian,69.9,16.6,17.2,102.9,99.4,69.9,102.9,47.8,17.5,27.9,38.5,99.4,51.2,28.6,31.6,48.9,31.4,48.3,74.3,10.5,7.2,10.4,56.7,36.2,23.0,49.6,27.4,25.6,44.8,29.6
1,Air Force,63.1,20.3,17.3,95.9,103.9,63.1,95.9,50.9,21.5,19.6,26.8,103.9,51.5,20.3,29.4,38.9,33.3,51.6,64.9,11.9,8.5,13.0,57.7,43.5,14.6,48.9,36.4,22.3,54.2,23.5
2,Akron,62.0,19.1,18.3,106.1,102.6,62.0,106.1,52.8,17.8,29.0,40.1,102.6,49.3,17.6,26.2,26.3,35.6,52.4,69.2,7.2,8.4,9.5,49.0,41.7,20.8,45.8,33.4,15.7,52.9,31.4
3,Alabama,71.7,15.5,17.4,116.1,98.7,71.7,116.1,51.5,19.8,35.5,33.6,98.7,49.4,17.7,30.7,35.2,30.8,56.3,73.0,11.5,10.5,9.3,52.9,48.0,19.2,46.0,34.8,20.2,51.0,28.8
4,Alabama A&M,66.4,17.8,17.3,87.6,101.0,66.4,87.6,41.3,19.6,28.7,33.5,101.0,46.3,19.6,31.0,28.6,27.1,41.5,71.3,6.6,10.8,8.7,43.4,24.9,22.5,58.5,19.0,17.5,49.3,33.3
5,Alabama St.,69.3,16.7,17.1,97.2,110.4,69.3,97.2,47.7,21.6,29.5,36.9,110.4,50.4,19.5,33.6,33.8,33.0,46.8,70.5,10.3,10.6,11.0,49.2,33.1,21.4,51.6,27.0,19.7,50.6,29.8
6,Albany,65.0,18.1,18.1,92.3,102.9,65.0,92.3,46.2,18.7,26.1,25.0,102.9,50.7,20.6,27.2,31.8,32.3,45.2,70.4,11.5,8.0,10.7,40.9,32.3,16.0,55.5,28.5,18.5,48.5,33.1
7,Alcorn St.,67.7,18.5,16.6,97.4,105.5,67.7,97.4,45.8,20.4,31.9,32.4,105.5,50.7,19.1,27.9,36.7,31.7,45.1,69.2,10.0,10.0,10.4,43.1,29.1,19.7,56.1,24.3,20.6,50.6,28.8
8,American,64.8,19.7,16.8,94.5,110.8,64.8,94.5,49.6,20.3,25.1,25.6,110.8,53.3,17.4,29.0,28.9,33.1,49.6,69.4,8.2,10.3,10.0,49.9,28.0,15.2,61.1,23.8,15.8,56.0,28.1
9,Appalachian St.,64.4,19.4,17.4,101.3,101.0,64.4,101.3,48.4,16.0,26.3,27.6,101.0,49.8,17.9,26.0,21.7,33.5,46.9,66.6,9.8,8.2,7.8,51.7,43.3,16.0,46.2,37.8,14.1,54.2,31.7
10,Arizona,72.2,15.0,17.9,119.6,92.4,72.2,119.6,55.9,18.0,34.5,35.1,92.4,44.4,17.7,28.3,22.8,35.4,57.5,73.8,7.1,9.3,8.7,65.4,35.7,18.8,53.6,27.5,14.7,52.8,32.5
