,Team,Conference,3P%,3P%.Rank,2P%,2P%.Rank,FT%,FT%.Rank,Blk%,Blk%.Rank,Stl%,Stl%.Rank,A%,A%.Rank,3PA%,3PA%.Rank,AdjOE,AdjOE.Rank
0,South Dakota St.,Sum,44.2,1,56.3,9,76.0,38,7.1,40,6.6,4,8.7,139,47.3,265,34.3,257
1,Colgate,Pat,40.1,2,52.7,63,69.3,264,8.7,152,9.6,217,7.3,36,62.0,7,42.1,82
2,Virginia Tech,ACC,39.3,3,52.6,67,74.3,89,9.4,223,9.8,241,7.1,29,55.4,70,41.5,95
3,Purdue,B10,39.1,4,55.9,13,70.3,224,6.7,25,8.7,111,8.6,123,58.9,28,39.1,143
4,Longwood,BSth,38.6,5,47.8,252,72.6,150,11.9,338,8.3,72,10.2,288,54.5,82,37.1,193
5,Davidson,A10,38.5,6,54.2,34,75.7,48,7.1,39,7.6,28,7.3,34,55.0,78,41.1,105
6,UAB,CUSA,38.4,7,50.6,139,73.9,100,8.8,168,7.8,38,8.5,120,44.6,305,32.7,293
7,Princeton,Ivy,38.4,8,55.9,12,64.0,352,8.8,169,8.0,50,6.5,10,49.2,218,44.9,35
8,UMBC,AE,38.3,9,48.9,211,78.2,13,7.4,64,8.3,70,7.9,61,49.0,228,42.6,67
9,Jacksonville St.,ASun,38.2,10,51.8,95,68.3,291,8.3,126,9.7,231,10.2,290,53.9,89,42.7,63
10,Lehigh,Pat,38.2,11,48.9,214,74.2,94,11.7,335,10.7,308,8.5,118,55.9,62,38.2,159
11,Liberty,ASun,38.1,12,54.0,38,76.7,25,8.2,111,9.9,251,8.1,77,56.3,51,49.7,6
12,Northern Colorado,BSky,38.0,13,55.2,20,71.9,168,6.8,31,8.3,73,8.6,122,43.8,319,45.5,30
13,Loyola Chicago,MVC,38.0,14,55.8,15,71.8,170,11.2,323,8.7,102,9.7,240,56.8,46,43.1,53
14,Gonzaga,WCC,37.9,15,60.9,1,73.0,135,6.8,27,8.5,84,7.4,40,55.3,74,35.5,237
15,Santa Clara,WCC,37.8,16,53.5,48,76.2,34,7.8,79,7.7,32,8.5,114,52.5,136,32.1,302
16,Michigan St.,B10,37.8,17,49.7,184,74.7,81,8.7,154,9.5,205,9.7,250,60.7,14,33.4,282
17,Notre Dame,ACC,37.7,18,52.0,87,75.9,43,9.1,202,9.0,141,6.5,9,55.4,73,43.1,56
