,Rank,Player,Team,EFG,Ht,Wt,Yr
0,1,Jamarion Sharp,Western Kentucky,73.2,7-5,235.0,Jr
1,2,Jaylan Gainey,Brown,71.5,6-9,220.0,Sr
2,3,Kris Bankston,Norfolk St.,70.0,6-8,230.0,Sr
3,4,David Skogman,Buffalo,69.6,6-10,228.0,So
4,5,Chet Holmgren,Gonzaga,68.9,7-0,195.0,Fr
5,6,Derrick Walker,Nebraska,68.2,6-9,239.0,Jr
6,7,JT Shumate,Toledo,67.4,6-7,210.0,Jr
7,8,Precious Ayah,Miami OH,66.0,6-6,240.0,Sr
8,9,Enrique Freeman,Akron,66.0,6-7,206.0,So
9,10,Javon Franklin,South Alabama,65.4,6-7,220.0,Sr
10,11,Charlie Easley,South Dakota St.,65.3,6-2,185.0,So
11,12,Patrick Good,Winthrop,65.3,6-0,175.0,Sr
12,13,Ryan Kalkbrenner,Creighton,65.2,7-1,256.0,So
13,14,Jake Stephens,VMI,65.2,6-11,266.0,Sr
14,15,Justin Amadi,James Madison,65.0,6-7,220.0,Fr
15,16,DaRon Holmes,Dayton,64.9,6-10,220.0,Fr
16,17,Kur Jongkuch,Northern Colorado,64.9,6-9,220.0,Sr
17,18,Ryan Moffatt,Colgate,64.8,6-6,220.0,Jr
18,19,Demaree King,Jacksonville St.,64.8,6-0,180.0,Jr
19,20,Ra Kpedi,Purdue Fort Wayne,64.6,6-9,245.0,Sr
20,21,Walker Kessler,Auburn,64.5,7-1,245.0,So
21,22,Quentin Millora-Brown,Vanderbilt,64.2,6-10,235.0,Sr
22,23,John Harrar,Penn St.,64.0,6-9,240.0,Sr
23,24,Jovan Stulic,Little Rock,63.7,6-5,205.0,Jr
24,25,David Roddy,Colorado St.,63.7,6-6,255.0,Jr
25,26,Nate Laszewski,Notre Dame,63.5,6-10,227.0,Jr
26,27,Braelen Bridges,Georgia,63.4,6-11,240.0,Sr
27,28,Kevin Samuel,Florida Gulf Coast,63.3,6-11,255.0,Sr
28,29,Rasir Bolton,Gonzaga,63.1,6-3,185.0,Sr
29,30,Jalyn Hinton,Southeastern Louisiana,63.0,6-6,200.0,Sr
30,31,Sam Waardenburg,Miami FL,62.9,6-10,225.0,Sr
31,32,Julian Strawther,Gonzaga,62.8,6-7,205.0,So
32,33,Kendall Brown,Baylor,62.8,6-8,205.0,Fr
33,34,Conley Garrison,Furman,62.8,6-1,170.0,Sr
34,35,Luka Brajkovic,Davidson,62.6,6-10,250.0,Sr
35,36,Christian Koloko,Arizona,62.5,7-1,230.0,So
36,37,Randall Brumant,Howard,62.5,6-7,220.0,Sr
37,38,Ben Wight,William & Mary,62.3,6-9,205.0,So
38,39,Clifford Omoruyi,Rutgers,62.0,6-11,240.0,So
39,40,Norchad Omier,Arkansas St.,61.9,6-7,232.0,Fr
40,41,Baylor Scheierman,South Dakota St.,61.7,6-6,205.0,So
41,42,Kyle Foster,Howard,61.7,6-5,172.0,Sr
42,43,Jake LaRavia,Wake Forest,61.6,6-8,235.0,Jr
44,45,Keegan Murray,Iowa,61.6,6-8,225.0,So
45,46,Tanner Groves,Oklahoma,61.5,6-10,235.0,Sr
46,47,Ricky Clemons,Campbell,61.4,6-2,205.0,Sr
47,48,Darien Jackson,Tulsa,61.3,6-3,203.0,Sr
48,49,Charles Thompson,Towson,61.2,6-7,240.0,Jr
49,50,Trey Jemison,UAB,61.2,7-0,260.0,Jr
50,51,Tyson Jackson,New Orleans,61.2,6-9,245.0,So
51,52,Kyle Bowen,Saint Mary's,61.1,6-8,222.0,Jr
52,53,Ben Shungu,Vermont,61.1,6-2,200.0,Sr
53,54,Gavin Kensmil,Stephen F. Austin,61.0,6-7,260.0,Sr
54,55,Deante Johnson,Cleveland St.,61.0,6-9,210.0,Sr
55,56,Osun Osunniyi,St. Bonaventure,60.8,6-10,220.0,Sr
56,57,Ryan Langborg,Princeton,60.8,6-4,186.0,Jr
57,58,Dru Kuxhausen,Northern Colorado,60.7,5-11,187.0,Sr
58,59,Bobby Planutis,Purdue Fort Wayne,60.5,6-8,205.0,Sr
59,60,Kellan Grady,Kentucky,60.4,6-5,205.0,Sr
60,61,David Shriver,Hartford,60.3,6-6,220.0,Sr
61,62,Jake Killingsworth,UC San Diego,60.3,6-5,210.0,Sr
62,63,Oscar Tshiebwe,Kentucky,60.2,6-9,255.0,Jr
63,64,Hakim Hart,Maryland,60.1,6-8,205.0,Jr
64,65,Darlinstone Dubar,Hofstra,60.1,6-7,202.0,So
65,66,Jalen Hill,Oklahoma,60.1,6-6,218.0,Jr
66,67,Jake Heidbreder,Air Force,60.1,6-5,180.0,Fr
67,68,Drake Jeffries,Wyoming,60.0,6-5,186.0,Sr
68,69,Jordan Miller,Miami FL,60.0,6-7,195.0,Jr
69,69,Garrett Sturtz,Drake,60.0,6-3,180.0,Sr
70,71,Matt Johnson,Northern Colorado,59.9,6-2,190.0,Sr
